OpCodes
-----------------------------------------------------------------------------------------------------------------------
| Opcode      | Instruction  | Op/En | 64-Bit Mode | Compat/Leg Mode | Description                                     |
| 0F 90       | SETO r/m8    | M     | Valid       | Valid           | Set byte if overflow (OF=1)                     |
| REX + 0F 90 | SETO r/m8*   | M     | Valid       | N.E.            | Set byte if overflow (OF=1).                    |
| 0F 9A       | SETP r/m8    | M     | Valid       | Valid           | Set byte if parity (PF=1).                      |
| REX + 0F 9A | SETP r/m8*   | M     | Valid       | N.E.            | Set byte if parity (PF=1).                      |
| 0F 9A       | SETPE r/m8   | M     | Valid       | Valid           | Set byte if parity even (PF=1).                 |
| REX + 0F 9A | SETPE r/m8*  | M     | Valid       | N.E.            | Set byte if parity even (PF=1).                 |
| 0F 9B       | SETPO r/m8   | M     | Valid       | Valid           | Set byte if parity odd (PF=0).                  |
| REX + 0F 9B | SETPO r/m8*  | M     | Valid       | N.E.            | Set byte if parity odd (PF=0).                  |
| 0F 98       | SETS r/m8    | M     | Valid       | Valid           | Set byte if sign (SF=1).                        |
| REX + 0F 98 | SETS r/m8*   | M     | Valid       | N.E.            | Set byte if sign (SF=1).                        |
| 0F 94       | SETZ r/m8    | M     | Valid       | Valid           | Set byte if zero (ZF=1).                        |
| REX + 0F 94 | SETZ r/m8*   | M     | Valid       | N.E.            | Set byte if zero (ZF=1).                        |

Notes 
-----------------------------------------------------------------------------------------------------------------------
* In64-bitmode,r/m8 cannot be encoded to access the following by teregisters if a REX prefix is used:AH,BH,CH,DH

Encoding
-----------------------------------------------------------------------------------------------------------------------
| Op/En | Operand 1     | Operand 2 | Operand 3 | Operand 4 |
| M     | ModRM:r/m (r) | NA        | NA        | NA        |
