; Format of file: All four fields must be present on every functional
; line. Hence `void' for no-operand instructions, and `\0' for such
; as EQU. If the last three fields are all `ignore', no action is
; taken except to register the opcode as being present.
;
; For a detailed description of the code string (third field), please
; see insns.pl and the comment at the top of assemble.c. For a detailed
; description of the flags (fourth field), please see insns-iflags.ph.
;
; Comments with a pound sign after the semicolon generate section
; subheaders in the NASM documentation.
;

;# Special instructions (pseudo-ops)
; These MUST be first in this file and must maintain the pattern of
; Dx by size, RESx by size, and INCBIN in that order.
DB		    ignore				ignore						ignore
DW		    ignore				ignore						ignore
DD		    ignore				ignore						ignore
DQ		    ignore				ignore						ignore
DT		    ignore				ignore						ignore
DO		    ignore				ignore						ignore
DY		    ignore				ignore						ignore
DZ  		ignore				ignore						ignore
RESB		imm				[	resb]					    8086
RESW		imm				[	resb]					    8086
RESD		imm				[	resb]					    8086
RESQ		imm				[	resb]					    8086
REST		imm				[	resb]					    8086
RESO		imm				[	resb]					    8086
RESY		imm				[	resb]					    8086
RESZ		imm				[	resb]					    8086
INCBIN		ignore				ignore						ignore


;# Systematic names for the hinting nop instructions
; These should be last in the file
HINT_NOP0    rm16                |  [m:    o16 0f 18 /0] |                P6,UNDOC
HINT_NOP28    rm32                |  [m:    o32 0f 1b /4] |                P6,UNDOC
HINT_NOP28    rm64                |  [m:    o64 0f 1b /4] |                X64,UNDOC
HINT_NOP29    rm16                |  [m:    o16 0f 1b /5] |                P6,UNDOC
HINT_NOP29    rm32                |  [m:    o32 0f 1b /5] |                P6,UNDOC
HINT_NOP29    rm64                |  [m:    o64 0f 1b /5] |                X64,UNDOC
HINT_NOP30    rm16                |  [m:    o16 0f 1b /6] |                P6,UNDOC
HINT_NOP30    rm32                |  [m:    o32 0f 1b /6] |                P6,UNDOC
HINT_NOP30    rm64                |  [m:    o64 0f 1b /6] |                X64,UNDOC
HINT_NOP31    rm16                |  [m:    o16 0f 1b /7] |                P6,UNDOC
HINT_NOP31    rm32                |  [m:    o32 0f 1b /7] |                P6,UNDOC
HINT_NOP31    rm64                |  [m:    o64 0f 1b /7] |                X64,UNDOC
HINT_NOP32    rm16                |  [m:    o16 0f 1c /0] |                P6,UNDOC
HINT_NOP32    rm32                |  [m:    o32 0f 1c /0] |                P6,UNDOC
HINT_NOP32    rm64                |  [m:    o64 0f 1c /0] |                X64,UNDOC
HINT_NOP33    rm16                |  [m:    o16 0f 1c /1] |                P6,UNDOC
HINT_NOP33    rm32                |  [m:    o32 0f 1c /1] |                P6,UNDOC
HINT_NOP33    rm64                |  [m:    o64 0f 1c /1] |                X64,UNDOC
HINT_NOP34    rm16                |  [m:    o16 0f 1c /2] |                P6,UNDOC
HINT_NOP34    rm32                |  [m:    o32 0f 1c /2] |                P6,UNDOC
HINT_NOP34    rm64                |  [m:    o64 0f 1c /2] |                X64,UNDOC
HINT_NOP35    rm16                |  [m:    o16 0f 1c /3] |                P6,UNDOC
HINT_NOP35    rm32                |  [m:    o32 0f 1c /3] |                P6,UNDOC
HINT_NOP35    rm64                |  [m:    o64 0f 1c /3] |                X64,UNDOC
HINT_NOP36    rm16                |  [m:    o16 0f 1c /4] |                P6,UNDOC
HINT_NOP36    rm32                |  [m:    o32 0f 1c /4] |                P6,UNDOC
HINT_NOP36    rm64                |  [m:    o64 0f 1c /4] |                X64,UNDOC
HINT_NOP37    rm16                |  [m:    o16 0f 1c /5] |                P6,UNDOC
HINT_NOP37    rm32                |  [m:    o32 0f 1c /5] |                P6,UNDOC
HINT_NOP37    rm64                |  [m:    o64 0f 1c /5] |                X64,UNDOC
HINT_NOP38    rm16                |  [m:    o16 0f 1c /6] |                P6,UNDOC
HINT_NOP38    rm32                |  [m:    o32 0f 1c /6] |                P6,UNDOC
HINT_NOP38    rm64                |  [m:    o64 0f 1c /6] |                X64,UNDOC
HINT_NOP39    rm16                |  [m:    o16 0f 1c /7] |                P6,UNDOC
HINT_NOP39    rm32                |  [m:    o32 0f 1c /7] |                P6,UNDOC
HINT_NOP39    rm64                |  [m:    o64 0f 1c /7] |                X64,UNDOC
HINT_NOP40    rm16                |  [m:    o16 0f 1d /0] |                P6,UNDOC
HINT_NOP40    rm32                |  [m:    o32 0f 1d /0] |                P6,UNDOC
HINT_NOP40    rm64                |  [m:    o64 0f 1d /0] |                X64,UNDOC
HINT_NOP41    rm16                |  [m:    o16 0f 1d /1] |                P6,UNDOC
HINT_NOP41    rm32                |  [m:    o32 0f 1d /1] |                P6,UNDOC
HINT_NOP41    rm64                |  [m:    o64 0f 1d /1] |                X64,UNDOC
HINT_NOP42    rm16                |  [m:    o16 0f 1d /2] |                P6,UNDOC
HINT_NOP42    rm32                |  [m:    o32 0f 1d /2] |                P6,UNDOC
HINT_NOP42    rm64                |  [m:    o64 0f 1d /2] |                X64,UNDOC
HINT_NOP43    rm16                |  [m:    o16 0f 1d /3] |                P6,UNDOC
HINT_NOP43    rm32                |  [m:    o32 0f 1d /3] |                P6,UNDOC
HINT_NOP43    rm64                |  [m:    o64 0f 1d /3] |                X64,UNDOC
HINT_NOP44    rm16                |  [m:    o16 0f 1d /4] |                P6,UNDOC
HINT_NOP44    rm32                |  [m:    o32 0f 1d /4] |                P6,UNDOC
HINT_NOP44    rm64                |  [m:    o64 0f 1d /4] |                X64,UNDOC
HINT_NOP45    rm16                |  [m:    o16 0f 1d /5] |                P6,UNDOC
HINT_NOP45    rm32                |  [m:    o32 0f 1d /5] |                P6,UNDOC
HINT_NOP45    rm64                |  [m:    o64 0f 1d /5] |                X64,UNDOC
HINT_NOP46    rm16                |  [m:    o16 0f 1d /6] |                P6,UNDOC
HINT_NOP46    rm32                |  [m:    o32 0f 1d /6] |                P6,UNDOC
HINT_NOP46    rm64                |  [m:    o64 0f 1d /6] |                X64,UNDOC
HINT_NOP47    rm16                |  [m:    o16 0f 1d /7] |                P6,UNDOC
HINT_NOP47    rm32                |  [m:    o32 0f 1d /7] |                P6,UNDOC
HINT_NOP47    rm64                |  [m:    o64 0f 1d /7] |                X64,UNDOC
HINT_NOP48    rm16                |  [m:    o16 0f 1e /0] |                P6,UNDOC
HINT_NOP48    rm32                |  [m:    o32 0f 1e /0] |                P6,UNDOC
HINT_NOP48    rm64                |  [m:    o64 0f 1e /0] |                X64,UNDOC
HINT_NOP49    rm16                |  [m:    o16 0f 1e /1] |                P6,UNDOC
HINT_NOP49    rm32                |  [m:    o32 0f 1e /1] |                P6,UNDOC
HINT_NOP49    rm64                |  [m:    o64 0f 1e /1] |                X64,UNDOC
HINT_NOP50    rm16                |  [m:    o16 0f 1e /2] |                P6,UNDOC
HINT_NOP50    rm32                |  [m:    o32 0f 1e /2] |                P6,UNDOC
HINT_NOP50    rm64                |  [m:    o64 0f 1e /2] |                X64,UNDOC
HINT_NOP51    rm16                |  [m:    o16 0f 1e /3] |                P6,UNDOC
HINT_NOP51    rm32                |  [m:    o32 0f 1e /3] |                P6,UNDOC
HINT_NOP51    rm64                |  [m:    o64 0f 1e /3] |                X64,UNDOC
HINT_NOP52    rm16                |  [m:    o16 0f 1e /4] |                P6,UNDOC
HINT_NOP52    rm32                |  [m:    o32 0f 1e /4] |                P6,UNDOC
HINT_NOP52    rm64                |  [m:    o64 0f 1e /4] |                X64,UNDOC
HINT_NOP53    rm16                |  [m:    o16 0f 1e /5] |                P6,UNDOC
HINT_NOP53    rm32                |  [m:    o32 0f 1e /5] |                P6,UNDOC
HINT_NOP53    rm64                |  [m:    o64 0f 1e /5] |                X64,UNDOC
HINT_NOP54    rm16                |  [m:    o16 0f 1e /6] |                P6,UNDOC
HINT_NOP54    rm32                |  [m:    o32 0f 1e /6] |                P6,UNDOC
HINT_NOP54    rm64                |  [m:    o64 0f 1e /6] |                X64,UNDOC
HINT_NOP55    rm16                |  [m:    o16 0f 1e /7] |                P6,UNDOC
HINT_NOP55    rm32                |  [m:    o32 0f 1e /7] |                P6,UNDOC
HINT_NOP55    rm64                |  [m:    o64 0f 1e /7] |                X64,UNDOC
HINT_NOP56    rm16                |  [m:    o16 0f 1f /0] |                P6,UNDOC
HINT_NOP56    rm32                |  [m:    o32 0f 1f /0] |                P6,UNDOC
HINT_NOP56    rm64                |  [m:    o64 0f 1f /0] |                X64,UNDOC
HINT_NOP57    rm16                |  [m:    o16 0f 1f /1] |                P6,UNDOC
HINT_NOP57    rm32                |  [m:    o32 0f 1f /1] |                P6,UNDOC
HINT_NOP57    rm64                |  [m:    o64 0f 1f /1] |                X64,UNDOC
HINT_NOP58    rm16                |  [m:    o16 0f 1f /2] |                P6,UNDOC
HINT_NOP58    rm32                |  [m:    o32 0f 1f /2] |                P6,UNDOC
HINT_NOP58    rm64                |  [m:    o64 0f 1f /2] |                X64,UNDOC
HINT_NOP59    rm16                |  [m:    o16 0f 1f /3] |                P6,UNDOC
HINT_NOP59    rm32                |  [m:    o32 0f 1f /3] |                P6,UNDOC
HINT_NOP59    rm64                |  [m:    o64 0f 1f /3] |                X64,UNDOC
HINT_NOP60    rm16                |  [m:    o16 0f 1f /4] |                P6,UNDOC
HINT_NOP60    rm32                |  [m:    o32 0f 1f /4] |                P6,UNDOC
HINT_NOP60    rm64                |  [m:    o64 0f 1f /4] |                X64,UNDOC
HINT_NOP61    rm16                |  [m:    o16 0f 1f /5] |                P6,UNDOC
HINT_NOP61    rm32                |  [m:    o32 0f 1f /5] |                P6,UNDOC
HINT_NOP61    rm64                |  [m:    o64 0f 1f /5] |                X64,UNDOC
HINT_NOP62    rm16                |  [m:    o16 0f 1f /6] |                P6,UNDOC
HINT_NOP62    rm32                |  [m:    o32 0f 1f /6] |                P6,UNDOC
HINT_NOP62    rm64                |  [m:    o64 0f 1f /6] |                X64,UNDOC
HINT_NOP63    rm16                |  [m:    o16 0f 1f /7] |                P6,UNDOC
HINT_NOP63    rm32                |  [m:    o32 0f 1f /7] |                P6,UNDOC
HINT_NOP63    rm64                |  [m:    o64 0f 1f /7] |                X64,UNDOC
