# Derived from CSV data at  http://golang.org/x/arch/x86
| Instruction                             | OpCode                            | Valid32BitOp | Valid64BitOp | CPUID                  | Info                              | ReadWriteActions | OperandSizeDistinguished | OpBitSize |
| AESKEYGENASSIST xmm1, xmm2/m128, imm8   | 66 0F 3A DF /r ib                 | V            | V            | AES                    |                                   | w,r,r            |                          |           |
| AND AL, imm8                            | 24 ib                             | V            | V            |                        |                                   | rw,r             | Y                        | 8         |
| AND AX, imm16                           | 25 iw                             | V            | V            |                        | operand16                         | rw,r             | Y                        | 16        |
| AND EAX, imm32                          | 25 id                             | V            | V            |                        | operand32                         | rw,r             | Y                        | 32        |
| AND RAX, imm32                          | REX.W 25 id                       | N.E.         | V            |                        |                                   | rw,r             | Y                        | 64        |
| AND r/m16, imm16                        | 81 /4 iw                          | V            | V            |                        | operand16                         | rw,r             | Y                        | 16        |
| AND r/m16, imm8                         | 83 /4 ib                          | V            | V            |                        | operand16                         | rw,r             | Y                        | 16        |
| AND r/m16, r16                          | 21 /r                             | V            | V            |                        | operand16                         | rw,r             | Y                        | 16        |
| AND r/m32, imm32                        | 81 /4 id                          | V            | V            |                        | operand32                         | rw,r             | Y                        | 32        |
| AND r/m32, imm8                         | 83 /4 ib                          | V            | V            |                        | operand32                         | rw,r             | Y                        | 32        |
| AND r/m32, r32                          | 21 /r                             | V            | V            |                        | operand32                         | rw,r             | Y                        | 32        |
| AND r/m64, imm32                        | REX.W 81 /4 id                    | N.E.         | V            |                        |                                   | rw,r             | Y                        | 64        |
| AND r/m64, imm8                         | REX.W 83 /4 ib                    | N.E.         | V            |                        |                                   | rw,r             | Y                        | 64        |
| AND r/m64, r64                          | REX.W 21 /r                       | N.E.         | V            |                        |                                   | rw,r             | Y                        | 64        |
| AND r/m8, imm8                          | 80 /4 ib                          | V            | V            |                        |                                   | rw,r             | Y                        | 8         |
| AND r/m8, imm8                          | REX 80 /4 ib                      | N.E.         | V            |                        | pseudo64                          | rw,r             | Y                        | 8         |
| AND r/m8, r8                            | 20 /r                             | V            | V            |                        |                                   | rw,r             | Y                        | 8         |
| AND r/m8, r8                            | REX 20 /r                         | N.E.         | V            |                        | pseudo64                          | rw,r             | Y                        | 8         |
| AND r16, r/m16                          | 23 /r                             | V            | V            |                        | operand16                         | rw,r             | Y                        | 16        |
| AND r32, r/m32                          | 23 /r                             | V            | V            |                        | operand32                         | rw,r             | Y                        | 32        |
| AND r64, r/m64                          | REX.W 23 /r                       | N.E.         | V            |                        |                                   | rw,r             | Y                        | 64        |
| AND r8, r/m8                            | 22 /r                             | V            | V            |                        |                                   | rw,r             | Y                        | 8         |
| AND r8, r/m8                            | REX 22 /r                         | N.E.         | V            |                        | pseudo64                          | rw,r             | Y                        | 8         |
| ANDN r32, r32V, r/m32                   | VEX.NDS.LZ.0F38.W0 F2 /r          | V            | V            | BMI1                   |                                   | w,r,r            | Y                        | 32        |
| ANDN r64, r64V, r/m64                   | VEX.NDS.LZ.0F38.W1 F2 /r          | N.E.         | V            | BMI1                   |                                   | w,r,r            | Y                        | 64        |
| ANDNPD xmm1, xmm2/m128                  | 66 0F 55 /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| ANDNPS xmm1, xmm2/m128                  | 0F 55 /r                          | V            | V            | SSE                    |                                   | rw,r             |                          |           |
| ANDPD xmm1, xmm2/m128                   | 66 0F 54 /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| ANDPS xmm1, xmm2/m128                   | 0F 54 /r                          | V            | V            | SSE                    |                                   | rw,r             |                          |           |
| ARPL r/m16, r16                         | 63 /r                             | V            | N.E.         |                        | operand16,operand32               | w,r              |                          |           |
| BEXTR r32, r/m32, r32V                  | VEX.NDS.LZ.0F38.W0 F7 /r          | V            | V            | BMI1                   |                                   | w,r,r            | Y                        | 32        |
| BEXTR r64, r/m64, r64V                  | VEX.NDS.LZ.0F38.W1 F7 /r          | N.E.         | V            | BMI1                   |                                   | w,r,r            | Y                        | 64        |
| BLENDPD xmm1, xmm2/m128, imm8           | 66 0F 3A 0D /r ib                 | V            | V            | SSE4_1                 |                                   | rw,r,r           |                          |           |
| BLENDPS xmm1, xmm2/m128, imm8           | 66 0F 3A 0C /r ib                 | V            | V            | SSE4_1                 |                                   | rw,r,r           |                          |           |
| BLENDVPD xmm1, xmm2/m128, <XMM0>        | 66 0F 38 15 /r                    | V            | V            | SSE4_1                 |                                   | rw,r,r           |                          |           |
| BLENDVPS xmm1, xmm2/m128, <XMM0>        | 66 0F 38 14 /r                    | V            | V            | SSE4_1                 |                                   | rw,r,r           |                          |           |
| BLSI r32V, r/m32                        | VEX.NDD.LZ.0F38.W0 F3 /3          | V            | V            | BMI1                   |                                   | w,r              | Y                        | 32        |
| BLSI r64V, r/m64                        | VEX.NDD.LZ.0F38.W1 F3 /3          | N.E.         | V            | BMI1                   |                                   | w,r              | Y                        | 64        |
| BLSMSK r32V, r/m32                      | VEX.NDD.LZ.0F38.W0 F3 /2          | V            | V            | BMI1                   |                                   | w,r              | Y                        | 32        |
| BLSMSK r64V, r/m64                      | VEX.NDD.LZ.0F38.W1 F3 /2          | N.E.         | V            | BMI1                   |                                   | w,r              | Y                        | 64        |
| BLSR r32V, r/m32                        | VEX.NDD.LZ.0F38.W0 F3 /1          | V            | V            | BMI1                   |                                   | w,r              | Y                        | 32        |
| BLSR r64V, r/m64                        | VEX.NDD.LZ.0F38.W1 F3 /1          | N.E.         | V            | BMI1                   |                                   | w,r              | Y                        | 64        |
| BNDCL bnd1, r/m32                       | F3 0F 1A /r                       | V            | N.E.         | MPX                    |                                   | w,r              |                          |           |
| BNDCL bnd1, r/m64                       | F3 0F 1A /r                       | N.E.         | V            | MPX                    |                                   | w,r              |                          |           |
| BNDCN bnd1, r/m32                       | F2 0F 1B /r                       | V            | N.E.         | MPX                    |                                   | w,r              |                          |           |
| BNDCN bnd1, r/m64                       | F2 0F 1B /r                       | N.E.         | V            | MPX                    |                                   | w,r              |                          |           |
| BNDCU bnd1, r/m32                       | F2 0F 1A /r                       | V            | N.E.         | MPX                    |                                   | w,r              |                          |           |
| BNDCU bnd1, r/m64                       | F2 0F 1A /r                       | N.E.         | V            | MPX                    |                                   | w,r              |                          |           |
| BNDLDX bnd1, mib                        | 0F 1A /r                          | V            | V            | MPX                    |                                   | w,r              |                          |           |
| BNDMK bnd1, m32                         | F3 0F 1B /r                       | V            | N.E.         | MPX                    | modrm_memonly                     | w,r              |                          |           |
| BNDMK bnd1, m64                         | F3 0F 1B /r                       | N.E.         | V            | MPX                    | modrm_memonly                     | w,r              |                          |           |
| BNDMOV bnd1, bnd2/m128                  | 66 0F 1A /r                       | N.E.         | V            | MPX                    |                                   | w,r              |                          |           |
| BNDMOV bnd1, bnd2/m64                   | 66 0F 1A /r                       | V            | N.E.         | MPX                    |                                   | w,r              |                          |           |
| BNDMOV bnd2/m128, bnd1                  | 66 0F 1B /r                       | N.E.         | V            | MPX                    |                                   | w,r              |                          |           |
| BNDMOV bnd2/m64, bnd1                   | 66 0F 1B /r                       | V            | N.E.         | MPX                    |                                   | w,r              |                          |           |
| BNDSTX mib, bnd1                        | 0F 1B /r                          | V            | V            | MPX                    |                                   | r,r              |                          |           |
| BOUND r16, m16&16                       | 62 /r                             | V            | I            |                        | operand16                         | r,r              | Y                        | 16        |
| BOUND r32, m32&32                       | 62 /r                             | V            | I            |                        | operand32                         | r,r              | Y                        | 32        |
| BSF r16, r/m16                          | 0F BC /r                          | V            | V            |                        | operand16                         | w,r              | Y                        | 16        |
| BSF r32, r/m32                          | 0F BC /r                          | V            | V            |                        | operand32                         | w,r              | Y                        | 32        |
| BSF r64, r/m64                          | REX.W 0F BC /r                    | N.E.         | V            |                        |                                   | w,r              | Y                        | 64        |
| BSR r16, r/m16                          | 0F BD /r                          | V            | V            |                        | operand16                         | w,r              | Y                        | 16        |
| BSR r32, r/m32                          | 0F BD /r                          | V            | V            |                        | operand32                         | w,r              | Y                        | 32        |
| BSR r64, r/m64                          | REX.W 0F BD /r                    | N.E.         | V            |                        |                                   | w,r              | Y                        | 64        |
| BSWAP r16op                             | 0F C8+rd                          | V            | V            |                        | operand16                         | rw               | Y                        | 16        |
| BSWAP r32op                             | 0F C8+rd                          | V            | V            |                        | operand32                         | rw               | Y                        | 32        |
| BSWAP r64op                             | REX.W 0F C8+rd                    | N.E.         | V            |                        |                                   | rw               | Y                        | 64        |
| BT r/m16, imm8                          | 0F BA /4 ib                       | V            | V            |                        | operand16                         | r,r              | Y                        | 16        |
| BT r/m16, r16                           | 0F A3 /r                          | V            | V            |                        | operand16                         | r,r              | Y                        | 16        |
| BT r/m32, imm8                          | 0F BA /4 ib                       | V            | V            |                        | operand32                         | r,r              | Y                        | 32        |
| BT r/m32, r32                           | 0F A3 /r                          | V            | V            |                        | operand32                         | r,r              | Y                        | 32        |
| BT r/m64, imm8                          | REX.W 0F BA /4 ib                 | N.E.         | V            |                        |                                   | r,r              | Y                        | 64        |
| BT r/m64, r64                           | REX.W 0F A3 /r                    | N.E.         | V            |                        |                                   | r,r              | Y                        | 64        |
| BTC r/m16, imm8                         | 0F BA /7 ib                       | V            | V            |                        | operand16                         | rw,r             | Y                        | 16        |
| BTC r/m16, r16                          | 0F BB /r                          | V            | V            |                        | operand16                         | rw,r             | Y                        | 16        |
| BTC r/m32, imm8                         | 0F BA /7 ib                       | V            | V            |                        | operand32                         | rw,r             | Y                        | 32        |
| BTC r/m32, r32                          | 0F BB /r                          | V            | V            |                        | operand32                         | rw,r             | Y                        | 32        |
| BTC r/m64, imm8                         | REX.W 0F BA /7 ib                 | N.E.         | V            |                        |                                   | rw,r             | Y                        | 64        |
| BTC r/m64, r64                          | REX.W 0F BB /r                    | N.E.         | V            |                        |                                   | rw,r             | Y                        | 64        |
| BTR r/m16, imm8                         | 0F BA /6 ib                       | V            | V            |                        | operand16                         | rw,r             | Y                        | 16        |
| BTR r/m16, r16                          | 0F B3 /r                          | V            | V            |                        | operand16                         | rw,r             | Y                        | 16        |
| BTR r/m32, imm8                         | 0F BA /6 ib                       | V            | V            |                        | operand32                         | rw,r             | Y                        | 32        |
| BTR r/m32, r32                          | 0F B3 /r                          | V            | V            |                        | operand32                         | rw,r             | Y                        | 32        |
| BTR r/m64, imm8                         | REX.W 0F BA /6 ib                 | N.E.         | V            |                        |                                   | rw,r             | Y                        | 64        |
| BTR r/m64, r64                          | REX.W 0F B3 /r                    | N.E.         | V            |                        |                                   | rw,r             | Y                        | 64        |
| BTS r/m16, imm8                         | 0F BA /5 ib                       | V            | V            |                        | operand16                         | rw,r             | Y                        | 16        |
| BTS r/m16, r16                          | 0F AB /r                          | V            | V            |                        | operand16                         | rw,r             | Y                        | 16        |
| BTS r/m32, imm8                         | 0F BA /5 ib                       | V            | V            |                        | operand32                         | rw,r             | Y                        | 32        |
| BTS r/m32, r32                          | 0F AB /r                          | V            | V            |                        | operand32                         | rw,r             | Y                        | 32        |
| BTS r/m64, imm8                         | REX.W 0F BA /5 ib                 | N.E.         | V            |                        |                                   | rw,r             | Y                        | 64        |
| BTS r/m64, r64                          | REX.W 0F AB /r                    | N.E.         | V            |                        |                                   | rw,r             | Y                        | 64        |
| BZHI r32, r/m32, r32V                   | VEX.NDS.LZ.0F38.W0 F5 /r          | V            | V            | BMI2                   |                                   | w,r,r            | Y                        | 32        |
| BZHI r64, r/m64, r64V                   | VEX.NDS.LZ.0F38.W1 F5 /r          | N.E.         | V            | BMI2                   |                                   | w,r,r            | Y                        | 64        |
| CALL r/m16                              | FF /2                             | V            | N.E.         |                        | operand16                         | r                | Y                        | 16        |
| CALL r/m32                              | FF /2                             | V            | N.E.         |                        | operand32                         | r                | Y                        | 32        |
| CALL r/m64                              | FF /2                             | N.E.         | V            |                        |                                   | r                | Y                        | 64        |
| CALL rel16                              | E8 cw                             | V            | N.S.         |                        | operand16                         | r                | Y                        |           |
| CALL rel32                              | E8 cd                             | V            | V            |                        | operand32                         | r                | Y                        |           |
| CALL rel32                              | E8 cd                             | N.S.         | V            |                        | operand16,operand64               | r                | Y                        |           |
| CALL_FAR m16:16                         | FF /3                             | V            | V            |                        | operand16                         | r                | Y                        |           |
| CALL_FAR m16:32                         | FF /3                             | V            | V            |                        | operand32                         | r                | Y                        |           |
| CALL_FAR m16:64                         | REX.W FF /3                       | N.E.         | V            |                        |                                   | r                | Y                        |           |
| CALL_FAR ptr16:16                       | 9A cd                             | V            | I            |                        | operand16                         | r                | Y                        |           |
| CALL_FAR ptr16:32                       | 9A cp                             | V            | I            |                        | operand32                         | r                | Y                        |           |
| CBW                                     | 98                                | V            | V            |                        | operand16                         |                  |                          |           |
| CDQ                                     | 99                                | V            | V            |                        | operand32                         |                  |                          |           |
| CDQE                                    | REX.W 98                          | N.E.         | V            |                        |                                   |                  |                          |           |
| CLAC                                    | 0F 01 CA                          | V            | V            |                        |                                   |                  |                          |           |
| CLC                                     | F8                                | V            | V            |                        |                                   |                  |                          |           |
| CLD                                     | FC                                | V            | V            |                        |                                   |                  |                          |           |
| CLFLUSH m8                              | 0F AE /7                          | V            | V            |                        | modrm_memonly                     | w                |                          |           |
| CLFLUSHOPT m8                           | 66 0F AE /7                       | V            | V            |                        | modrm_memonly                     | w                |                          |           |
| CLI                                     | FA                                | V            | V            |                        |                                   |                  |                          |           |
| CLTS                                    | 0F 06                             | V            | V            |                        |                                   |                  |                          |           |
| CMC                                     | F5                                | V            | V            |                        |                                   |                  |                          |           |
| CMOVA r16, r/m16                        | 0F 47 /r                          | V            | V            |                        | P6,operand16                      | rw,r             | Y                        | 16        |
| CMOVA r32, r/m32                        | 0F 47 /r                          | V            | V            |                        | P6,operand32                      | rw,r             | Y                        | 32        |
| CMOVA r64, r/m64                        | REX.W 0F 47 /r                    | N.E.         | V            |                        |                                   | rw,r             | Y                        | 64        |
| CMOVAE r16, r/m16                       | 0F 43 /r                          | V            | V            |                        | P6,operand16                      | rw,r             | Y                        | 16        |
| CMOVAE r32, r/m32                       | 0F 43 /r                          | V            | V            |                        | P6,operand32                      | rw,r             | Y                        | 32        |
| CMOVAE r64, r/m64                       | REX.W 0F 43 /r                    | N.E.         | V            |                        |                                   | rw,r             | Y                        | 64        |
| CMOVB r16, r/m16                        | 0F 42 /r                          | V            | V            |                        | P6,operand16                      | rw,r             | Y                        | 16        |
| CMOVB r32, r/m32                        | 0F 42 /r                          | V            | V            |                        | P6,operand32                      | rw,r             | Y                        | 32        |
| CMOVB r64, r/m64                        | REX.W 0F 42 /r                    | N.E.         | V            |                        |                                   | rw,r             | Y                        | 64        |
| CMOVBE r16, r/m16                       | 0F 46 /r                          | V            | V            |                        | P6,operand16                      | rw,r             | Y                        | 16        |
| CMOVBE r32, r/m32                       | 0F 46 /r                          | V            | V            |                        | P6,operand32                      | rw,r             | Y                        | 32        |
| CMOVBE r64, r/m64                       | REX.W 0F 46 /r                    | N.E.         | V            |                        |                                   | rw,r             | Y                        | 64        |
| CMOVC r16, r/m16                        | 0F 42 /r                          | V            | V            |                        | P6,operand16,pseudo               | rw,r             |                          |           |
| CMOVC r32, r/m32                        | 0F 42 /r                          | V            | V            |                        | P6,operand32,pseudo               | rw,r             |                          |           |
| CMOVC r64, r/m64                        | REX.W 0F 42 /r                    | N.E.         | V            |                        | pseudo                            | rw,r             |                          |           |
| CMOVE r16, r/m16                        | 0F 44 /r                          | V            | V            |                        | P6,operand16                      | rw,r             | Y                        | 16        |
