; Derived from insns.dat, the table of instructions for the Netwide Assembler. See license

Basic Instructions
---------------------------------------------------------------------------------------------------------------
| Class      | Operands                | Code                        | Flags                      |
| ADC        | rm32,imm                | [mi: hle o32 81 /2 id]      | 386,SM,LOCK                |
| ADC        | rm64,sbytedword         | [mi: hle o64 83 /2 ib,s]    | X64,SM,LOCK,ND             |
| ADC        | rm64,imm                | [mi: hle o64 81 /2 id,s]    | X64,SM,LOCK                |
| ADC        | mem,imm8                | [mi: hle 80 /2 ib]          | 8086,SM,LOCK,ND            |
| ADC        | mem,sbyteword16         | [mi: hle o16 83 /2 ib,s]    | 8086,SM,LOCK,ND            |
| ADC        | mem,imm16               | [mi: hle o16 81 /2 iw]      | 8086,SM,LOCK               |
| ADC        | mem,sbytedword32        | [mi: hle o32 83 /2 ib,s]    | 386,SM,LOCK,ND             |
| ADC        | mem,imm32               | [mi: hle o32 81 /2 id]      | 386,SM,LOCK                |
| ADC        | rm8,imm                 | [mi: hle 82 /2 ib]          | 8086,SM,LOCK,ND,NOLONG     |
| ADD        | mem,reg8                | [mr: hle 00 /r]             | 8086,SM,LOCK               |
| ADD        | reg8,reg8               | [mr: 00 /r]                 | 8086                       |
| ADD        | mem,reg16               | [mr: hle o16 01 /r]         | 8086,SM,LOCK               |
| ADD        | reg16,reg16             | [mr: o16 01 /r]             | 8086                       |
| ADD        | mem,reg32               | [mr: hle o32 01 /r]         | 386,SM,LOCK                |
| ADD        | reg32,reg32             | [mr: o32 01 /r]             | 386                        |
| ADD        | mem,reg64               | [mr: hle o64 01 /r]         | X64,SM,LOCK                |
| ADD        | reg64,reg64             | [mr: o64 01 /r]             | X64                        |
| ADD        | reg8,mem                | [rm: 02 /r]                 | 8086,SM                    |
| ADD        | reg8,reg8               | [rm: 02 /r]                 | 8086                       |
| ADD        | reg16,mem               | [rm: o16 03 /r]             | 8086,SM                    |
| ADD        | reg16,reg16             | [rm: o16 03 /r]             | 8086                       |
| ADD        | reg32,mem               | [rm: o32 03 /r]             | 386,SM                     |
| ADD        | reg32,reg32             | [rm: o32 03 /r]             | 386                        |
| ADD        | reg64,mem               | [rm: o64 03 /r]             | X64,SM                     |
| ADD        | reg64,reg64             | [rm: o64 03 /r]             | X64                        |
| ADD        | rm16,imm8               | [mi: hle o16 83 /0 ib,s]    | 8086,LOCK                  |
| ADD        | rm32,imm8               | [mi: hle o32 83 /0 ib,s]    | 386,LOCK                   |
| ADD        | rm64,imm8               | [mi: hle o64 83 /0 ib,s]    | X64,LOCK                   |
| ADD        | reg_al,imm              | [-i: 04 ib]                 | 8086,SM                    |
| ADD        | reg_ax,sbyteword        | [mi: o16 83 /0 ib,s]        | 8086,SM,ND                 |
| ADD        | reg_ax,imm              | [-i: o16 05 iw]             | 8086,SM                    |
| ADD        | reg_eax,sbytedword      | [mi: o32 83 /0 ib,s]        | 386,SM,ND                  |
| ADD        | reg_eax,imm             | [-i: o32 05 id]             | 386,SM                     |
| ADD        | reg_rax,sbytedword      | [mi: o64 83 /0 ib,s]        | X64,SM,ND                  |
| ADD        | reg_rax,imm             | [-i: o64 05 id,s]           | X64,SM                     |
| ADD        | rm8,imm                 | [mi: hle 80 /0 ib]          | 8086,SM,LOCK               |
| ADD        | rm16,sbyteword          | [mi: hle o16 83 /0 ib,s]    | 8086,SM,LOCK,ND            |
| ADD        | rm16,imm                | [mi: hle o16 81 /0 iw]      | 8086,SM,LOCK               |
| ADD        | rm32,sbytedword         | [mi: hle o32 83 /0 ib,s]    | 386,SM,LOCK,ND             |
| ADD        | rm32,imm                | [mi: hle o32 81 /0 id]      | 386,SM,LOCK                |
| ADD        | rm64,sbytedword         | [mi: hle o64 83 /0 ib,s]    | X64,SM,LOCK,ND             |
| ADD        | rm64,imm                | [mi: hle o64 81 /0 id,s]    | X64,SM,LOCK                |
| ADD        | mem,imm8                | [mi: hle 80 /0 ib]          | 8086,SM,LOCK               |
| ADD        | mem,sbyteword16         | [mi: hle o16 83 /0 ib,s]    | 8086,SM,LOCK,ND            |
| ADD        | mem,imm16               | [mi: hle o16 81 /0 iw]      | 8086,SM,LOCK               |
| ADD        | mem,sbytedword32        | [mi: hle o32 83 /0 ib,s]    | 386,SM,LOCK,ND             |
| ADD        | mem,imm32               | [mi: hle o32 81 /0 id]      | 386,SM,LOCK                |
| ADD        | rm8,imm                 | [mi: hle 82 /0 ib]          | 8086,SM,LOCK,ND,NOLONG     |
| AND        | mem,reg8                | [mr: hle 20 /r]             | 8086,SM,LOCK               |
| AND        | reg8,reg8               | [mr: 20 /r]                 | 8086                       |
| AND        | mem,reg16               | [mr: hle o16 21 /r]         | 8086,SM,LOCK               |
| AND        | reg16,reg16             | [mr: o16 21 /r]             | 8086                       |
| AND        | mem,reg32               | [mr: hle o32 21 /r]         | 386,SM,LOCK                |
| AND        | reg32,reg32             | [mr: o32 21 /r]             | 386                        |
| AND        | mem,reg64               | [mr: hle o64 21 /r]         | X64,SM,LOCK                |
| AND        | reg64,reg64             | [mr: o64 21 /r]             | X64                        |
| AND        | reg8,mem                | [rm: 22 /r]                 | 8086,SM                    |
| AND        | reg8,reg8               | [rm: 22 /r]                 | 8086                       |
| AND        | reg16,mem               | [rm: o16 23 /r]             | 8086,SM                    |
| AND        | reg16,reg16             | [rm: o16 23 /r]             | 8086                       |
| AND        | reg32,mem               | [rm: o32 23 /r]             | 386,SM                     |
| AND        | reg32,reg32             | [rm: o32 23 /r]             | 386                        |
| AND        | reg64,mem               | [rm: o64 23 /r]             | X64,SM                     |
| AND        | reg64,reg64             | [rm: o64 23 /r]             | X64                        |
| AND        | rm16,imm8               | [mi: hle o16 83 /4 ib,s]    | 8086,LOCK                  |
| AND        | rm32,imm8               | [mi: hle o32 83 /4 ib,s]    | 386,LOCK                   |
| AND        | rm64,imm8               | [mi: hle o64 83 /4 ib,s]    | X64,LOCK                   |
| AND        | reg_al,imm              | [-i: 24 ib]                 | 8086,SM                    |
| AND        | reg_ax,sbyteword        | [mi: o16 83 /4 ib,s]        | 8086,SM,ND                 |
| AND        | reg_ax,imm              | [-i: o16 25 iw]             | 8086,SM                    |
| AND        | reg_eax,sbytedword      | [mi: o32 83 /4 ib,s]        | 386,SM,ND                  |
| AND        | reg_eax,imm             | [-i: o32 25 id]             | 386,SM                     |
| AND        | reg_rax,sbytedword      | [mi: o64 83 /4 ib,s]        | X64,SM,ND                  |
| AND        | reg_rax,imm             | [-i: o64 25 id,s]           | X64,SM                     |
| AND        | rm8,imm                 | [mi: hle 80 /4 ib]          | 8086,SM,LOCK               |
| AND        | rm16,sbyteword          | [mi: hle o16 83 /4 ib,s]    | 8086,SM,LOCK,ND            |
| AND        | rm16,imm                | [mi: hle o16 81 /4 iw]      | 8086,SM,LOCK               |
| AND        | rm32,sbytedword         | [mi: hle o32 83 /4 ib,s]    | 386,SM,LOCK,ND             |
| AND        | rm32,imm                | [mi: hle o32 81 /4 id]      | 386,SM,LOCK                |
| AND        | rm64,sbytedword         | [mi: hle o64 83 /4 ib,s]    | X64,SM,LOCK,ND             |
| AND        | rm64,imm                | [mi: hle o64 81 /4 id,s]    | X64,SM,LOCK                |
| AND        | mem,imm8                | [mi: hle 80 /4 ib]          | 8086,SM,LOCK               |
| AND        | mem,sbyteword16         | [mi: hle o16 83 /4 ib,s]    | 8086,SM,LOCK,ND            |
| AND        | mem,imm16               | [mi: hle o16 81 /4 iw]      | 8086,SM,LOCK               |
| AND        | mem,sbytedword32        | [mi: hle o32 83 /4 ib,s]    | 386,SM,LOCK,ND             |
| AND        | mem,imm32               | [mi: hle o32 81 /4 id]      | 386,SM,LOCK                |
| AND        | rm8,imm                 | [mi: hle 82 /4 ib]          | 8086,SM,LOCK,ND,NOLONG     |
| ARPL       | mem,reg16               | [mr: 63 /r]                 | 286,PROT,SM,NOLONG         |
| ARPL       | reg16,reg16             | [mr: 63 /r]                 | 286,PROT,NOLONG            |
| BB0_RESET  | void                    | [0f 3a]                     | PENT,CYRIX,ND,OBSOLETE     |
| BB1_RESET  | void                    | [0f 3b]                     | PENT,CYRIX,ND,OBSOLETE     |
| BOUND      | reg16,mem               | [rm: o16 62 /r]             | 186,NOLONG                 |
| BOUND      | reg32,mem               | [rm: o32 62 /r]             | 386,NOLONG                 |
| BSF        | reg16,mem               | [rm: o16 nof3 0f bc /r]     | 386,SM                     |
| BSF        | reg16,reg16             | [rm: o16 nof3 0f bc /r]     | 386                        |
| BSF        | reg32,mem               | [rm: o32 nof3 0f bc /r]     | 386,SM                     |
| BSF        | reg32,reg32             | [rm: o32 nof3 0f bc /r]     | 386                        |
| BSF        | reg64,mem               | [rm: o64 nof3 0f bc /r]     | X64,SM                     |
| BSF        | reg64,reg64             | [rm: o64 nof3 0f bc /r]     | X64                        |
| BSR        | reg16,mem               | [rm: o16 nof3 0f bd /r]     | 386,SM                     |
| BSR        | reg16,reg16             | [rm: o16 nof3 0f bd /r]     | 386                        |
| BSR        | reg32,mem               | [rm: o32 nof3 0f bd /r]     | 386,SM                     |
| BSR        | reg32,reg32             | [rm: o32 nof3 0f bd /r]     | 386                        |
| BSR        | reg64,mem               | [rm: o64 nof3 0f bd /r]     | X64,SM                     |
| BSR        | reg64,reg64             | [rm: o64 nof3 0f bd /r]     | X64                        |
| BSWAP      | reg32                   | [r: o32 0f c8+r]            | 486                        |
| BSWAP      | reg64                   | [r: o64 0f c8+r]            | X64                        |
| BT         | mem,reg16               | [mr: o16 0f a3 /r]          | 386,SM                     |
| BT         | reg16,reg16             | [mr: o16 0f a3 /r]          | 386                        |
| BT         | mem,reg32               | [mr: o32 0f a3 /r]          | 386,SM                     |
| BT         | reg32,reg32             | [mr: o32 0f a3 /r]          | 386                        |
| BT         | mem,reg64               | [mr: o64 0f a3 /r]          | X64,SM                     |
| BT         | reg64,reg64             | [mr: o64 0f a3 /r]          | X64                        |
| BT         | rm16,imm                | [mi: o16 0f ba /4 ib,u]     | 386,SB                     |
| BT         | rm32,imm                | [mi: o32 0f ba /4 ib,u]     | 386,SB                     |
| BT         | rm64,imm                | [mi: o64 0f ba /4 ib,u]     | X64,SB                     |
| BTC        | mem,reg16               | [mr: hle o16 0f bb /r]      | 386,SM,LOCK                |
| BTC        | reg16,reg16             | [mr: o16 0f bb /r]          | 386                        |
| BTC        | mem,reg32               | [mr: hle o32 0f bb /r]      | 386,SM,LOCK                |
| BTC        | reg32,reg32             | [mr: o32 0f bb /r]          | 386                        |
| BTC        | mem,reg64               | [mr: hle o64 0f bb /r]      | X64,SM,LOCK                |
| BTC        | reg64,reg64             | [mr: o64 0f bb /r]          | X64                        |
| BTC        | rm16,imm                | [mi: hle o16 0f ba /7 ib,u] | 386,SB,LOCK                |
| BTC        | rm32,imm                | [mi: hle o32 0f ba /7 ib,u] | 386,SB,LOCK                |
| BTC        | rm64,imm                | [mi: hle o64 0f ba /7 ib,u] | X64,SB,LOCK                |
| BTR        | mem,reg16               | [mr: hle o16 0f b3 /r]      | 386,SM,LOCK                |
| BTR        | reg16,reg16             | [mr: o16 0f b3 /r]          | 386                        |
| BTR        | mem,reg32               | [mr: hle o32 0f b3 /r]      | 386,SM,LOCK                |
| BTR        | reg32,reg32             | [mr: o32 0f b3 /r]          | 386                        |
| BTR        | mem,reg64               | [mr: hle o64 0f b3 /r]      | X64,SM,LOCK                |
| BTR        | reg64,reg64             | [mr: o64 0f b3 /r]          | X64                        |
| BTR        | rm16,imm                | [mi: hle o16 0f ba /6 ib,u] | 386,SB,LOCK                |
| BTR        | rm32,imm                | [mi: hle o32 0f ba /6 ib,u] | 386,SB,LOCK                |
| BTR        | rm64,imm                | [mi: hle o64 0f ba /6 ib,u] | X64,SB,LOCK                |
| BTS        | mem,reg16               | [mr: hle o16 0f ab /r]      | 386,SM,LOCK                |
| BTS        | reg16,reg16             | [mr: o16 0f ab /r]          | 386                        |
| BTS        | mem,reg32               | [mr: hle o32 0f ab /r]      | 386,SM,LOCK                |
| BTS        | reg32,reg32             | [mr: o32 0f ab /r]          | 386                        |
| BTS        | mem,reg64               | [mr: hle o64 0f ab /r]      | X64,SM,LOCK                |
| BTS        | reg64,reg64             | [mr: o64 0f ab /r]          | X64                        |
| BTS        | rm16,imm                | [mi: hle o16 0f ba /5 ib,u] | 386,SB,LOCK                |
| BTS        | rm32,imm                | [mi: hle o32 0f ba /5 ib,u] | 386,SB,LOCK                |
| BTS        | rm64,imm                | [mi: hle o64 0f ba /5 ib,u] | X64,SB,LOCK                |
| CALL       | imm                     | [i: odf e8 rel]             | 8086,BND                   |
| CALL       | imm^near                | [i: odf e8 rel]             | 8086,ND,BND                |
| CALL       | imm^far                 | [i: odf 9a iwd seg]         | 8086,ND,NOLONG             |
| CALL       | imm16                   | [i: o16 e8 rel]             | 8086,NOLONG,BND            |
| CALL       | imm16^near              | [i: o16 e8 rel]             | 8086,ND,NOLONG,BND         |
| CALL       | imm16^far               | [i: o16 9a iwd seg]         | 8086,ND,NOLONG             |
| CALL       | imm32                   | [i: o32 e8 rel]             | 386,NOLONG,BND             |
| CALL       | imm32^near              | [i: o32 e8 rel]             | 386,ND,NOLONG,BND          |
| CALL       | imm32^far               | [i: o32 9a iwd seg]         | 386,ND,NOLONG              |
| CALL       | imm64                   | [i: o64nw e8 rel]           | X64,BND                    |
| CALL       | imm64^near              | [i: o64nw e8 rel]           | X64,ND,BND                 |
| CALL       | imm:imm                 | [ji: odf 9a iwd iw]         | 8086,NOLONG                |
| CALL       | imm16:imm               | [ji: o16 9a iw iw]          | 8086,NOLONG                |
| CALL       | imm:imm16               | [ji: o16 9a iw iw]          | 8086,NOLONG                |
| CALL       | imm32:imm               | [ji: o32 9a id iw]          | 386,NOLONG                 |
| CALL       | imm:imm32               | [ji: o32 9a id iw]          | 386,NOLONG                 |
| CALL       | mem^far                 | [m: odf ff /3]              | 8086,NOLONG                |
| CALL       | mem^far                 | [m: o64 ff /3]              | X64                        |
| CALL       | mem16^far               | [m: o16 ff /3]              | 8086                       |
| CALL       | mem32^far               | [m: o32 ff /3]              | 386                        |
| CALL       | mem64^far               | [m: o64 ff /3]              | X64                        |
| CALL       | mem^near                | [m: odf ff /2]              | 8086,ND,BND                |
| CALL       | rm16^near               | [m: o16 ff /2]              | 8086,NOLONG,ND,BND         |
| CALL       | rm32^near               | [m: o32 ff /2]              | 386,NOLONG,ND,BND          |
| CALL       | rm64^near               | [m: o64nw ff /2]            | X64,ND,BND                 |
| CALL       | mem                     | [m: odf ff /2]              | 8086,BND                   |
| CALL       | rm16                    | [m: o16 ff /2]              | 8086,NOLONG,BND            |
| CALL       | rm32                    | [m: o32 ff /2]              | 386,NOLONG,BND             |
| CALL       | rm64                    | [m: o64nw ff /2]            | X64,BND                    |
| CBW        | void                    | [o16 98]                    | 8086                       |
| CDQ        | void                    | [o32 99]                    | 386                        |
| CDQE       | void                    | [o64 98]                    | X64                        |
| CLC        | void                    | [f8]                        | 8086                       |
| CLD        | void                    | [fc]                        | 8086                       |
| CLI        | void                    | [fa]                        | 8086                       |
| CLTS       | void                    | [0f 06]                     | 286,PRIV                   |
| CMC        | void                    | [f5]                        | 8086                       |
| CMP        | mem,reg8                | [mr: 38 /r]                 | 8086,SM                    |
| CMP        | reg8,reg8               | [mr: 38 /r]                 | 8086                       |
| CMP        | mem,reg16               | [mr: o16 39 /r]             | 8086,SM                    |
| CMP        | reg16,reg16             | [mr: o16 39 /r]             | 8086                       |
| CMP        | mem,reg32               | [mr: o32 39 /r]             | 386,SM                     |
| CMP        | reg32,reg32             | [mr: o32 39 /r]             | 386                        |
| CMP        | mem,reg64               | [mr: o64 39 /r]             | X64,SM                     |
| CMP        | reg64,reg64             | [mr: o64 39 /r]             | X64                        |
| CMP        | reg8,mem                | [rm: 3a /r]                 | 8086,SM                    |
| CMP        | reg8,reg8               | [rm: 3a /r]                 | 8086                       |
| CMP        | reg16,mem               | [rm: o16 3b /r]             | 8086,SM                    |
| CMP        | reg16,reg16             | [rm: o16 3b /r]             | 8086                       |
| CMP        | reg32,mem               | [rm: o32 3b /r]             | 386,SM                     |
| CMP        | reg32,reg32             | [rm: o32 3b /r]             | 386                        |
| CMP        | reg64,mem               | [rm: o64 3b /r]             | X64,SM                     |
| CMP        | reg64,reg64             | [rm: o64 3b /r]             | X64                        |
| CMP        | rm16,imm8               | [mi: o16 83 /7 ib,s]        | 8086                       |
| CMP        | rm32,imm8               | [mi: o32 83 /7 ib,s]        | 386                        |
| CMP        | rm64,imm8               | [mi: o64 83 /7 ib,s]        | X64                        |
| CMP        | reg_al,imm              | [-i: 3c ib]                 | 8086,SM                    |
| CMP        | reg_ax,sbyteword        | [mi: o16 83 /7 ib,s]        | 8086,SM,ND                 |
| CMP        | reg_ax,imm              | [-i: o16 3d iw]             | 8086,SM                    |
| CMP        | reg_eax,sbytedword      | [mi: o32 83 /7 ib,s]        | 386,SM,ND                  |
| CMP        | reg_eax,imm             | [-i: o32 3d id]             | 386,SM                     |
| CMP        | reg_rax,sbytedword      | [mi: o64 83 /7 ib,s]        | X64,SM,ND                  |
| CMP        | reg_rax,imm             | [-i: o64 3d id,s]           | X64,SM                     |
| CMP        | rm8,imm                 | [mi: 80 /7 ib]              | 8086,SM                    |
| CMP        | rm16,sbyteword          | [mi: o16 83 /7 ib,s]        | 8086,SM,ND                 |
| CMP        | rm16,imm                | [mi: o16 81 /7 iw]          | 8086,SM                    |
| CMP        | rm32,sbytedword         | [mi: o32 83 /7 ib,s]        | 386,SM,ND                  |
| CMP        | rm32,imm                | [mi: o32 81 /7 id]          | 386,SM                     |
| CMP        | rm64,sbytedword         | [mi: o64 83 /7 ib,s]        | X64,SM,ND                  |
| CMP        | rm64,imm                | [mi: o64 81 /7 id,s]        | X64,SM                     |
| CMP        | mem,imm8                | [mi: 80 /7 ib]              | 8086,SM                    |
| CMP        | mem,sbyteword16         | [mi: o16 83 /7 ib,s]        | 8086,SM,ND                 |
| CMP        | mem,imm16               | [mi: o16 81 /7 iw]          | 8086,SM                    |
| CMP        | mem,sbytedword32        | [mi: o32 83 /7 ib,s]        | 386,SM,ND                  |
| CMP        | mem,imm32               | [mi: o32 81 /7 id]          | 386,SM                     |
| CMP        | rm8,imm                 | [mi: 82 /7 ib]              | 8086,SM,ND,NOLONG          |
| CMPSB      | void                    | [repe a6]                   | 8086                       |
| CMPSD      | void                    | [repe o32 a7]               | 386                        |
| CMPSQ      | void                    | [repe o64 a7]               | X64                        |
| CMPSW      | void                    | [repe o16 a7]               | 8086                       |
| CMPXCHG    | mem,reg8                | [mr: hle 0f b0 /r]          | PENT,SM,LOCK               |
| CMPXCHG    | reg8,reg8               | [mr: 0f b0 /r]              | PENT                       |
| CMPXCHG    | mem,reg16               | [mr: hle o16 0f b1 /r]      | PENT,SM,LOCK               |
| CMPXCHG    | reg16,reg16             | [mr: o16 0f b1 /r]          | PENT                       |
| CMPXCHG    | mem,reg32               | [mr: hle o32 0f b1 /r]      | PENT,SM,LOCK               |
| CMPXCHG    | reg32,reg32             | [mr: o32 0f b1 /r]          | PENT                       |
| CMPXCHG    | mem,reg64               | [mr: hle o64 0f b1 /r]      | X64,SM,LOCK                |
| CMPXCHG    | reg64,reg64             | [mr: o64 0f b1 /r]          | X64                        |
| CMPXCHG8B  | mem                     | [m: hle norexw 0f c7 /1]    | PENT,LOCK                  |
| CMPXCHG16B | mem                     | [m: o64 0f c7 /1]           | X64,LOCK                   |
| CPUID      | void                    | [0f a2]                     | PENT                       |
| CPU_READ   | void                    | [0f 3d]                     | PENT,CYRIX                 |
| CPU_WRITE  | void                    | [0f 3c]                     | PENT,CYRIX                 |
| CQO        | void                    | [o64 99]                    | X64                        |
| CWD        | void                    | [o16 99]                    | 8086                       |
| CWDE       | void                    | [o32 98]                    | 386                        |
| DAA        | void                    | [27]                        | 8086,NOLONG                |
| DAS        | void                    | [2f]                        | 8086,NOLONG                |
| DEC        | reg16                   | [r: o16 48+r]               | 8086,NOLONG                |
| DEC        | reg32                   | [r: o32 48+r]               | 386,NOLONG                 |
| DEC        | rm8                     | [m: hle fe /1]              | 8086,LOCK                  |
| DEC        | rm16                    | [m: hle o16 ff /1]          | 8086,LOCK                  |
| DEC        | rm32                    | [m: hle o32 ff /1]          | 386,LOCK                   |
| DEC        | rm64                    | [m: hle o64 ff /1]          | X64,LOCK                   |
| DIV        | rm8                     | [m: f6 /6]                  | 8086                       |
| DIV        | rm16                    | [m: o16 f7 /6]              | 8086                       |
| DIV        | rm32                    | [m: o32 f7 /6]              | 386                        |
| DIV        | rm64                    | [m: o64 f7 /6]              | X64                        |
| DMINT      | void                    | [0f 39]                     | P6,CYRIX                   |
| EMMS       | void                    | [0f 77]                     | PENT,MMX                   |
| ENTER      | imm,imm                 | [ij: c8 iw ib,u]            | 186                        |
| EQU        | imm ignore 8086         |                             |                            |
| EQU        | imm:imm  ignore 8086    |                             |                            |
| F2XM1      | void                    | [d9 f0]                     | 8086,FPU                   |
| FABS       | void                    | [d9 e1]                     | 8086,FPU                   |
| FADD       | mem32                   | [m: d8 /0]                  | 8086,FPU                   |
| FADD       | mem64                   | [m: dc /0]                  | 8086,FPU                   |
| FADD       | fpureg^to               | [r: dc c0+r]                | 8086,FPU                   |
| FADD       | fpureg                  | [r: d8 c0+r]                | 8086,FPU                   |
| FADD       | fpureg,fpu0             | [r-: dc c0+r]               | 8086,FPU                   |
| FADD       | fpu0,fpureg             | [-r: d8 c0+r]               | 8086,FPU                   |
| FADD       | void                    | [de c1]                     | 8086,FPU,ND                |
| FADDP      | fpureg                  | [r: de c0+r]                | 8086,FPU                   |
| FADDP      | fpureg,fpu0             | [r-: de c0+r]               | 8086,FPU                   |
| FADDP      | void                    | [de c1]                     | 8086,FPU,ND                |
| FBLD       | mem80                   | [m: df /4]                  | 8086,FPU                   |
| FBLD       | mem                     | [m: df /4]                  | 8086,FPU                   |
| FBSTP      | mem80                   | [m: df /6]                  | 8086,FPU                   |
| FBSTP      | mem                     | [m: df /6]                  | 8086,FPU                   |
| FCHS       | void                    | [d9 e0]                     | 8086,FPU                   |
| FCLEX      | void                    | [wait db e2]                | 8086,FPU                   |
| FCMOVB     | fpureg                  | [r: da c0+r]                | P6,FPU                     |
| FCMOVB     | fpu0,fpureg             | [-r: da c0+r]               | P6,FPU                     |
| FCMOVB     | void                    | [da c1]                     | P6,FPU,ND                  |
| FCMOVBE    | fpureg                  | [r: da d0+r]                | P6,FPU                     |
| FCMOVBE    | fpu0,fpureg             | [-r: da d0+r]               | P6,FPU                     |
| FCMOVBE    | void                    | [da d1]                     | P6,FPU,ND                  |
| FCMOVE     | fpureg                  | [r: da c8+r]                | P6,FPU                     |
| FCMOVE     | fpu0,fpureg             | [-r: da c8+r]               | P6,FPU                     |
| FCMOVE     | void                    | [da c9]                     | P6,FPU,ND                  |
| FCMOVNB    | fpureg                  | [r: db c0+r]                | P6,FPU                     |
| FCMOVNB    | fpu0,fpureg             | [-r: db c0+r]               | P6,FPU                     |
| FCMOVNB    | void                    | [db c1]                     | P6,FPU,ND                  |
| FCMOVNBE   | fpureg                  | [r: db d0+r]                | P6,FPU                     |
| FCMOVNBE   | fpu0,fpureg             | [-r: db d0+r]               | P6,FPU                     |
| FCMOVNBE   | void                    | [db d1]                     | P6,FPU,ND                  |
| FCMOVNE    | fpureg                  | [r: db c8+r]                | P6,FPU                     |
| FCMOVNE    | fpu0,fpureg             | [-r: db c8+r]               | P6,FPU                     |
| FCMOVNE    | void                    | [db c9]                     | P6,FPU,ND                  |
| FCMOVNU    | fpureg                  | [r: db d8+r]                | P6,FPU                     |
| FCMOVNU    | fpu0,fpureg             | [-r: db d8+r]               | P6,FPU                     |
| FCMOVNU    | void                    | [db d9]                     | P6,FPU,ND                  |
| FCMOVU     | fpureg                  | [r: da d8+r]                | P6,FPU                     |
| FCMOVU     | fpu0,fpureg             | [-r: da d8+r]               | P6,FPU                     |
| FCMOVU     | void                    | [da d9]                     | P6,FPU,ND                  |
| FCOM       | mem32                   | [m: d8 /2]                  | 8086,FPU                   |
| FCOM       | mem64                   | [m: dc /2]                  | 8086,FPU                   |
| FCOM       | fpureg                  | [r: d8 d0+r]                | 8086,FPU                   |
| FCOM       | fpu0,fpureg             | [-r: d8 d0+r]               | 8086,FPU                   |
| FCOM       | void                    | [d8 d1]                     | 8086,FPU,ND                |
| FCOMI      | fpureg                  | [r: db f0+r]                | P6,FPU                     |
| FCOMI      | fpu0,fpureg             | [-r: db f0+r]               | P6,FPU                     |
| FCOMI      | void                    | [db f1]                     | P6,FPU,ND                  |
| FCOMIP     | fpureg                  | [r: df f0+r]                | P6,FPU                     |
| FCOMIP     | fpu0,fpureg             | [-r: df f0+r]               | P6,FPU                     |
| FCOMIP     | void                    | [df f1]                     | P6,FPU,ND                  |
